dashboard,feature,feature_match_score,feature_match_method,question,worksheet,Demographic Category-value,Demographic Category-alias,Demographic Group-value,Demographic Group-alias,Note1-alias,ATTR(Long Description)-alias,Measure Names-value,Measure Names-alias,Measure Values-alias
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,<25K,"Less Than $25,000","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),45.5%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,50K+,"$50,000 or More","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),31.2%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,25-50K,"$25,000-$49,999","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),37.5%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,<25K,"Less Than $25,000","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),33.5%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,50K+,"$50,000 or More","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,40.1%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,25-50K,"$25,000-$49,999","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,43.7%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,<25K,"Less Than $25,000","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,39.3%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,50K+,"$50,000 or More","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,128
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,25-50K,"$25,000-$49,999","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,282
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Income Level,Income Level,<25K,"Less Than $25,000","The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,360
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010,Total,Total,Total,Total,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),32.1%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010,Total,Total,Total,Total,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),27.7%
